QUEST_20150317_000001	Please select the user requiring a quest update.	Pilih user untuk memodifikasi quest.
QUEST_20151116_002832	These tombstones were built with our devotion from our praying hearts.{nl}Until some strange person came and destroyed the tombstones, it was used for all our rites!	Yang mengumpulkan dan mendirikan kesetiaan itu dengan hati adalah Tombstone ini.{nl}Padahal aku sudah melakukan semua pekerjaanku dengan baik, sampai seorang yang aneh datang dan menghancurkannya!
QUEST_20151116_002833	It's suppose to release crimson energy, it's not a corruption!{nl}We were gathering holy energy to offer to the goddesses!{nl}	Itu sebenarnya karena energi berwarna merah mengalir keluar bukan karena polusi!{nl}Itu adalah energi suci Goddess yang sedang dikumpulkan loh!{nl}
QUEST_20151116_002834	Since you carry such malice, monsters must be attracted to you!{nl}That's it! It was created that way!{nl}	Karena kau memiliki sesuatu yang jahat, sehingga para monster selalu terpancing olehmu!{nl}Kenapa begitu! Karena sejak awal terbuat seperti itu!{nl}
QUEST_20151116_002835	Working under someone who neither understand or can hear!{nl}Did the person who destroyed our tombstones saw it as a corruption?	Pekerjaan yang disuru oleh orang yang tidak tahu dan tidak mendengar katamu! {nl}menurut pandangan orang yang menghancurkan tombstone kita, apakah itu terlihat seperti polusi?
QUEST_20151116_002836	Do you finally understand?{nl}What your utter stupidity has caused?{nl}	Apakah sekarang mulai mengerti?{nl}Kamu sudah melakukan hal yang seberapa bodoh? {nl}
QUEST_20151116_002837	If you understand, start trying to think of a way to revert this.{nl}This simply cannot be ignored.	Kalau sudah mengerti coba pikirkan cara untuk mengembalikan ini kembali.{nl}Tidak bisa melakukannya hanya dengan asal-asalan.
QUEST_20151116_002838	I have a request for an investigation{nl}It's the person disguised as Anastospa and destroying Nestospa tombstones.{nl}	Ada hal yang ingin kuminta tolong untuk diperiksa.{nl}Kami adalah orang yang salah menuduh Anastos, dan menghancurkan Nestos Tombstone.{nl}
QUEST_20151116_002839	The name is Alvydas. He was at Liugas Access Road.{nl}It might be dangerous, take this flare. Be careful.	Namanya adalah Albidas. Tadinya berada di Liugas Access Road katanya.{nl}Tidak diketahui apakah berbahaya atau tidak, coba bawalah temporary flare ini dan waspadalah.
QUEST_20151116_002840	A healing potion needed for a dog.	ButuhRecovery  Potion untuk diberikan pada anjing.
QUEST_20151116_002841	That's a healing potion. I will feed it to the dog when you hand it over.	Recovery Potion rupanya. Kalau diberikan kepada saya, akan kuberikan pada anjing.
QUEST_20151116_002842	I will head to where Rose is residing.	Pergi ke lokasi Rose berada.
QUEST_20151116_002843	After the lord's migration has fallen, the people of the south are heading towards Orsha.{nl}If you're an adventurer who has recently started traveling, head to camping area on the east.{nl}There should be people who are able to guide you.	Setelah turun perintah dari Lord untuk melakukan migrasi, sebagian besar orang mengarah ke Orsha.{nl}jika kamu adalah seseorang yang baru memulai petualangan, cobalah pergi ke arah timur dari Camp area.{nl}Disana akan ada orang yang memberi arahan.
QUEST_20151116_002844	I saw Orsha from a slope on the way here from a town.{nl}The splendor surrounded by a castle wall I've seen as a kid has disappeared,{nl}and now coiled with trees with the size of a house.{nl}I wonder how long you can last in such a place.	Ketika sedang datang mengarah ke tempat ini dari desa, aku melihat Orsha di uphill.{nl}Kemewahan terbentuk dari tembok kastil yang kulihat waktu kecil, dan terdapat pohon-pohon sebesar rumah yang mengelilinginya.{nl}Tetapi tentu saja tidak diketahui bisa berapa lama bertahan di tempat itu..
QUEST_20151116_002845	It's obviously Intelligence for the Wizard and its branch.{nl}However, you also need to remember Spirit to cast spells frequently.{nl}Select well between balance and concentration.	Wizards bekerja dengan Intelligence, Namun tidak boleh melupakan Spirit untuk spell-casting yang lebih banyak.{nl} Kamu harus memilih antara menjadi seimbang atau spesialisasi.
QUEST_20151116_002846	It's obviously Strength for the Archer and its branch.{nl}However, you cannot forget nimble Dexterity.{nl}It's best to think ahead of what to become.	Strength adalah stat yang paling penting untuk para archer.{nl} Namun, tentu saja Kamu tidak bisa mengabaikan kecepatan gerak.{nl} Kamu harus memutuskan apa yang harus kamu prioritaskan mulai dari sekarang.
QUEST_20151116_002847	It's obviously Intelliegence for the Cleric and its branch.{nl}However, you may also require Strength or Spirit.{nl}It's best to think ahead of what to become.	Intelligence adalah stat yang paling penting untuk cleric.{nl} Namu terkadang Kamu mungkin memerlukan strenght atau spirit yang lebih kuat.{nl} Kamu harus memutuskan apa yang harus kamu prioritaskan mulai dari sekarang.
QUEST_20151116_002848	Only if our town also had an inn for merchants to stay and rest.{nl}We could've prepared beforehand...{nl}After spending so long at an inlet of a valley, we got to suffer for not knowing the world affairs.	Jika saja ada losmen untuk menginap bagi para merchant di Desa kami seperti di desa lain{nl}maka dapat mengatasi sebelum kondisi in iterjadi..{nl}ini terjadi karena berada di antah berantah lembah yang tidak diketahui dunia.
QUEST_20151116_002849	Living there inside of Orsha's partially destroyed fortress.{nl}Living here with swarming monsters and fear of safety.{nl}Both are tough choices to make.{nl}I wish to return back to my hometown..	Entah tinggal di dalam kastil Orsha yang diledakan itu karena terjebak,{nl}karena disini lebih aman dibandingkan monster yang berkeliaran di sekitar{nl}atau keduanya sama-sama menyulitkan.{nl}Aku ingin kembali kampung halaman..
QUEST_20151116_002850	Please let the people with the smell of the ocean to head down to Dallanas.{nl}It's starting to become uneasy with the people not to be seen as time passes.{nl}By any chance, did they all leave to Orsha without me?	Tolong beritahukan silahkan datang kepada Dallanas ini jika melihat orang yang memiliki bau seperti air laut.{nl}Sekarang menghabiskan waktu santai begitu saja tanpa terlihat, merasa cemas rupanya.{nl}Mungkinkah yang lainnya telah kembali ke Orsha selain saya?
QUEST_20151116_002851	There's no way that such a huge amount of people can enter Orsha.{nl}That's why we try to gather and accommodate them here as much as possible.	Orang-orang sebanyak ini tidak dapat kembali semua ke Orsha.{nl}Maka dari itu dengan memperhatikan kenyamanan mereka, semua dikumpulkan di tempat ini kan.
QUEST_20151116_002852	Lethargy and fear can be seen in people's eyes.{nl)What would you do if you were the village chief?	Di mata orang-orang terlihat horror dan ketidakberdayaan{nl}jika kamu adalah kepala desa bagaimana menurutmu?
QUEST_20151116_002853	{nl}It's the elderly's complaint...{nl}I worry for the lord...	{nl}Keluhan dari si tua rupanya..{nl}Lord menjadi khawatir rupanya..
QUEST_20151116_002854	Those who are usually lazy are still carefree in these times of danger.{nl}People who were suppose to arrive early have yet to come.	Orang-orang yang biasanya malas merasakan kedamaian pada kondisi darurat seperti ini rupanya.{nl}Orang yang seharusnya datang sejak dulu belum juga datang.
QUEST_20151116_002855	This land has been protected by the ancestors of my family.{nl}I will protect this land, no matter what hardship comes my way.{nl}Please lend me your power.	Tanah yang dijaga oleh para leluhur keluarga bangsawan.{nl}Walaupun kesulitan apapun terjadi akan tetap menjaganya.{nl}Berikanlah kekuatan kepadaku.
QUEST_20151116_002856	There has been no case of demons being involved during the several years I spent as a chaser.{nl}I believe we have seen all the demons within this area.	Aku telah bekerja sebagai chaser beberapa tahun lamanya, tetapi tidak pernah terhubung dengan demon sekali pun.{nl}Entah kenapa para demon yang akan terlihat disini terasa akan teringat seumur hidup rasanya.
QUEST_20151116_002857	The rumors about you are incredible.{nl}It has spread all around Orsha.	Rumor mengenai kamu sungguh luar biasa.{nl}Rumor yang dimulai dari luar kota, sudah tersebar sampai Orsha saat ini.
QUEST_20151116_002858	I will have to revisit my hometown after this task.{nl}I wish to see my parents after experiencing such a horrible event.	Jika pekerjaan kali ini selesai, aku harus kembali ke kampung halaman lagi.{nl}Kalau menghadapi pekerjaan yang menyeramkan, jadi ingin bertemu dengan orang tua rasanya.
QUEST_20151116_002859	I don't believe there are more important tasks over at Orsha than here.	Tidak ada pekerjaan yang lebih penting oleh Orsha dibandingkan pekerjaan yang kita lakukan sekarang.
QUEST_20151116_002860	I pray that all the informants are safe.	Kuharap para Informan semuanya baik-baik saja.
QUEST_20151116_002861	To survive in such a world, a chaser should be more suitable than a hunter.{nl}	Jika ingin bertahan di dunia seperti ini, maka akan lebih cocok sebagai Chaser dibandingkan Hunter.{nl}
QUEST_20151116_002862	Please find Urbonas instead of worrying about me.	Jangan khawatirkan aku, carilah tuan Urbonas.
QUEST_20151116_002863	Please save us from Marnox's grasp.	Kau tolong selamatkanlah kami dari genggaman tangan Marnox..
QUEST_20151116_002864	I miss the days of the peaceful Orsha.{nl}Those days are never coming back, right?	Aku merindukan Orsha yang penuh kedamaian.{nl}Ke depannya hari yang seperti itu tidak akan kembali bukan?
QUEST_20151116_002865	The demons are coming down from the west.{nl}The events at Ashaq Basement Prison was just the beginning.{nl}How many more sacrifices will have to be done...{nl}I wonder how much longer we can protect Orsha.	Para demon bermaksud untuk pergi mengarah ke bagian selatan dari waktu ke waktu.{nl}Hal di Ashaq Underground Prison hanyalah permulaan saja.{nl}entah ke depannya seberapa banyak perngorbanan yang harus dilakukan lagi..{nl}Kami tidak tahu berapa lama dapat menjaga Orsha.
QUEST_20151116_002866	All the wounds have yet to heal.{nl}We will leave when we are able to walk.	Luka ini masih belum sembuh total..{nl}Jika sudah dapat bergerak sedikit saja, aku bermaksud untuk pergi.
QUEST_20151116_002867	It's awful to believe that I could've disappeared.	Aku merasa ketakutan karena berpikir terdapat kemungkinan diculik.
QUEST_20151116_002868	By any chance have you seen my cargo left at the Woods of the Linked Bridges?{nl}It should've had my mother's keepsake and other various items...	Apakah kamu melihat barangku yang tertinggal di Woods of the Linked Bridges?{nl}Di dalamnya terdapat benda-benda penting seperti barang peninggalan ibuku padahal..
QUEST_20151116_002869	When you leave this area, you will become a priest, {nl}that will further devote to the goddess' words...{nl}I pray that you return safely.	Jika keluar dari sini, aku akan menjadi priest yang patuh akan Goddess dibandingkan sekarang..{nl}Semoga selamat dan dapat kembali..
QUEST_20151116_002870	Chaser Daramaus	Chaser Daramouse
QUEST_20151116_002871	What kind of wealth and honor is Torvana enjoying and followed me here to a such a place...{nl}I must apologize to Torvana when I safely return from this place.	Entah kenapa aku mengikuti Torbana sampai ke tempat ini demi harga diri dan harta..{nl}Jika aku dapat keluar dengan selamat dari tempat ini, aku harus meminta maaf kepada Torbana.
QUEST_20151116_002872	Chaser Torvana	Chaser Torbana
QUEST_20151116_002873	I followed here since Pranas usually has an acquaintance...{nl}But I did not know the fact that he was someone acting on such a reckless behavior.	Dulu ada orang yang dekat dengan tuan Pranas dan biasa pergi mengikutinya...{nl} tetapi karena timbul hal bodoh ini, orang-yang lewat pun tidak mengetahuinya.
QUEST_20151116_002874	Before the kingdom's capital was ruined, {nl}the kingdom's dispatched officers have been ransacking and annoying us...{nl}I miss those old times.	Sebelum ibukota dari kerajaan mengalami kehancuran, para jendral pasukan kerajaan pergi berkeliling kesana kemari dan mengganggu kami ini....{nl}sekarang kami merindukan masa itu.
QUEST_20151116_002875	I believe all the hardships here has become an experience.{nl}There are many stories to tell my kids when I return back to my hometown.	Setelah datang kesini, aku telah merasakan berbagai macam kehidupan sulit.{nl}Nantinya akan banyak cerita yang bisa kubagi ketika kembali ke kampung halama.
QUEST_20151116_002876	I remember the time when they were recruiting chasers back at my hometown for the first time.{nl}I followed here by trusting in my brother, but there are simply too many tasks.{nl}Not to mention seriously dangerous.	Aku teringat akan waktu dimana pertama kali diadakan rekrut chaser di kampung halaman.{nl}Aku pergi karena percaya hanya pada kakak Germeja, tetapi pekerjaan yagn harus dilakukan terlalu banyak.{nl}Tidak ada yang bicara mengenai hal berbahaya.
QUEST_20151116_002877	I have figured a way to live more diligently back at my hometown.{nl}I wish to see my family...	Harus memikirkan cara untuk hidup dengan lebih serius di desa.{nl}Aku ingin bertemu dengan keluargaku rupanya..
QUEST_20151116_002878	If I can't handle this and runaway, I'll become a deserter...{nl}When this task is over, I will have to seriously consider being discharged.{nl}But if that does happen, I wouldn't know how I will from then on.	Menjadi pasukan yang kabur karena tidak dapat bertahan disini..{nl}Setelah semua ini berakhir, aku harus mencoba berpikir serius untuk berhenti dari pekerjaan ini.{nl} kalau sampai itu terjadi aku tidak tahu bagaimana harus menyambung hidupku.
QUEST_20151116_002879	After this work is over, {nl}I'll be requesting for a vacation to spend my days sleeping with my warm blanket.	Jika pekerjaan ini sudah selesai, aku akan mendaftar kembali untuk liburan, dan selama seharian aku akan tidur di kamar saja berselimutkan selimut hangat.
QUEST_20151116_002880	Lord's Guard	Lord Guardian
QUEST_20151116_002881	The lord is extremely busy.{nl}Trivial matters should be inquired with a different manager.	Lord sangatlah sibuk.{nl}Hal yang sepele tanyakanlah kepada para penanggung jawab lainnya.
QUEST_20151116_002882	There are too many people requesting to meet with the lord.{nl}Eventually, the lord has decided to leave the castle wall to calm the crowd.	Banyak sekali orang-orang yang meminta untuk bertemu berbicara langsung dengan Lord.{nl}Akhirnya Lord keluar dari kastil untuk menemui mereka semua.
QUEST_20151116_002883	Welcome back! This is the commercial district of Klaipeda.{nl}You will find all sorts of accessories and equipment being sold here.	Selamat datang. Saya adalah Shopping District Klaipeda.{nl}Kami menjual berbagai Accessories dan Tool, serta equipment.
QUEST_20151116_002884	Welcome! Here to drop something off?	Selamat datang!{nl}Apa yang kau ingin titipkan?
QUEST_20151116_002885	Although it may look simple at first glance, {nl}the path of the Swordsman carry some profound meanings.	Walaupun pada awalnya terlihat ringan, tetapi perjalanan dari swordman memiliki arti yang mendalam.
QUEST_20151116_002886	I wish there will be more swordsmen capable of helping the villagers.	Alangkah baiknya jika banyak swordman dengan kemampuan baik sehingga dapat membantu para penduduk di tempat ini.
QUEST_20151116_002887	Offense is the best defense{nl}There is nothing to fear if you can blow away enemies, {nl}like the fallen leaves with your two-handed sword.	Serangan adalah pertahanan yang terbaik.{nl}Tidak ada hal yang perlu ditakuti jika dapat menebas musuh seperti daun yang berguguran dengan pedang dua tangan.
QUEST_20151116_002888	There are many brilliant people among the masters that did not let their feminine body {nl}affect their training. If I train diligently, I would be able to catch up to them some time.	banyak orang hebat yang mencapai posisi master walaupun seorang wanita.{nl}Kalau saja saya tidak malas, maka suatu hari saya akan dapat menjadi seperti mereka.
QUEST_20151116_002889	I welcome any swordsman with an aptitude. {nl}Let's defeat the demons together!	Kami mempersilahkan siapapun, swordman yang memiliki kemampuan baik.{nl}Mari mengalahkan Para demon bersama!
QUEST_20151116_002890	You could say it were the demons that made it possible for us to reach a sub-master level,{nl}at such a young age. {nl}I will repay them with my sword and shield.	Pada umur terbilang muda, dapat mencapai sub master itu bisa dibilang adalah berkat para demon juga ya.{nl} harus membalas budi kepada mereka dengan pedang dan shield rupanya.
QUEST_20151116_002891	It's already been four years, but there are many people who still carry the scars of that day.{nl}In times like these, our cleric's blessing by the goddess must be shared.	4 tahun sudah berlalu, tetapi luka yang muncul oleh karena hari itu masih saja tersisa pada hati orang-orang.{nl}Pada saat seperti ini kita sebagai cleric harus membagikan berkat Goddess kepada orang-orang.
QUEST_20151116_002892		Wah, apakah kamu seorang petualang?{nl}senangnya~saya tidak dapat bergerak dari sini karena tugasku..
QUEST_20151116_002893	To spread the blessing of the goddess, it doesn't matter what kind of priest you are.{nl}	Untuk menyebarkan blessing Goddess, tidak peduli apa jenis priest Kamu. {nl}
QUEST_20151116_002894	Originally, I was following a different path, but I ended up entering the Krivis.{nl}I believe helping others through a conventional way seems most appropriate.	Awalnya, aku mengikuti jalan yang berbeda, tapi akhirnya aku memasuki Krivis. {nl} aku percaya membantu orang lain melalui cara konvensional tampaknya yang paling tepat.
QUEST_20151116_002895	For the tired and sick people, we must become a shoulder for them to rest on.{nl}As such, priests must bear with heavy responsibilites.	Kita harus menjadi sanggahan untuk bersandar bagi mereka yang susah dan kelelahan.{nl}Priest memiliki tanggung jawab penting sebesar itu.
QUEST_20151116_002896	With the goddesses gone, we need to be the one to help hold people's heart in place.	Saat ini ketika para Goddess tidak hadir, kita harus memenangkan hati dari orang-orang.
QUEST_20151116_002897	Are you asking me to bless the path of the Priest? Course, I would be happy to bless you.{nl}I pray that your path will be brimming with the blessing of the goddess. 	Apakah Kamu meminta aku untuk memberkati jalan priest itu? Tentu saja, aku akan senang untuk memberkati Kamu. {nl} aku berdoa agar jalan Kamu akan penuh dengan berkah dari Goddess.
QUEST_20151116_002898	Anyone who shares the blessing of the goddess has the right to be blessed by anyone.{nl}I pray that the goddess will watch over his future.	Siapa pun yang berbagi blessing Goddess memiliki hak untuk diblessingi oleh siapa pun. {nl} aku berdoa agar sang Goddess akan mengawasi masa depannya.
QUEST_20151116_002899	You must be someone who has recently pursued the path of the Priest.{nl}If you don't mind my blessing, I will gladly bless you.	Kamu harus menjadi seseorang yang baru saja mengejar jalan priest. {nl} Jika Kamu tidak keberatan blessing aku, aku akan dengan senang hati memberkati Kamu.
QUEST_20151116_002900	It's regrettable that someone like you has left the path of the Cleric half-way through.	Orang seperti kamu sangatlah sayang jika berhenti di tengah jalan dari jalan Cleric.
QUEST_20151116_002901	I was originally a Pardoner.{nl}If the path of the Priest ends up not working out for you, consider the path of the Krivis.	Saya juga awalnya adalah Pardoner.{nl}Mungkin jika kamu tidak merasa cocok di jalan Priest, cobalah memilih jalan dari Krivi.
QUEST_20151116_002902	Of course, helping others through a conventional way is still great.{nl}However, make sure not to forget the choice of the Bokor.	Sudah pasti menolong orang dengan cara tradisional sungguh baik.{nl}Tetapi jangan lupa ada pilihan untuk menjadi Bokor.
QUEST_20151116_002903	The state of the world after Medzio Diena has truly gotten much better, {nl}but the world is still in a chaotic state. {nl}{nl}The dedication of people who are worthy is desperately needed.	Keadaan dunia setelah Medzio Diena telah benar-benar menjadi jauh lebih baik, {nl} tapi dunia masih dalam keadaan kacau. {nl} {nl} Dedikasi orang-orang yang layak sangat dibutuhkan.
QUEST_20151116_002904	That enormous tree was the cataclysm as well as the monsters. I'll acknowledge that.{nl}However, the kingdom and its people are responsible for the chaotic events{nl}that occurred afterward. {nl}If Medzio Diena were to occur at our hometown, this kind of situation would've never happened.	Bahwa pohon besar adalah bencana serta monster. Aku mengakuinya. {nl} Namun, kerajaan dan rakyatnya bertanggung jawab atas peristiwa kacau {nl} yang terjadi sesudahnya. {nl} Jika Medzio Diena yang terjadi di kampung halaman kami, situasi semacam ini akan tidak pernah terjadi.
QUEST_20151116_002905	Pepole like you hoping to straighten out the chaos are interesting.{nl}It's a forte that only a handful of people carry in this kingdom.	Orang-orang seperti Kamu berharap untuk meluruskan kekacauan adalah menarik. {nl} Ini adalah forte yang hanya segelintir orang membawa di kerajaan ini.
QUEST_20151116_002906	We, the Bokor, are the clergy that are meant to spread the blessing of the goddess to the world.{nl}It's just that our methods are a bit unfamiliar.	Kami sebagai Bokor adalah Priest yang menyebarkan berkat Goddess ke dunia.{nl}Caranya itu hanya sedikit asing saja kan.
QUEST_20151116_002907	Ahaha. Did you think that the Bokors would have dark personalities?{nl}It seems that misunderstanding of the Bokors has spread far in the public eye.	Ahaha. Apakah kau berpikir jika seorang Bokor memiliki sifat yang gelap?{nl}Sepertinya banyak tersebar kesalahpahaman mengenai Bokor rupanya.
QUEST_20151116_002908	There are already many splendid people at Orsha.{nl}I have come here to this place to get closer to meet with people who are having difficulties.	Banyak orang hebat yang berada di Orsha kan.{nl}Saya datang mendekat untuk menolong orang yang kesusahan, hingga akhirnya tiba di tempat ini.
QUEST_20151116_002909	The meeting with Tesla was a luck of a lifetime.{nl}It'd be great if he would message of his current whereabouts.	Sungguh beruntung karena dapat bertemu dengan tuan Tesla dalam hidup ini.{nl}Alangkah baiknya jika memberikan kabar dimana ia berada sekarang.
QUEST_20151116_002910	I don't believe it's much of a trouble.{nl}For someone who has dedicated their loyalty to the kingdom, {nl}they must be able to sacrifice their life for the subjects of the kingdom in times like these.	Hal itu tidak dianggap sebagai kesulitan besar ya.{nl}Jika merupakan seorang yang mengabdi demi kerajaan, maka harus tahu cara mengorbankan diri demi para penduduk kerajaan saat ini.
QUEST_20151116_002911	Please don't get surprised.{nl}This fluid is created by Sadhu's ability to help the people of Orsha located around here.	Kuharap kamu tidak terkejut.{nl} Hanya cairan saja yang datang dengan kekuatan dari Shadu untuk membantu orang-orang Orsha di tempat ini.
QUEST_20151116_002912	Paladins like us prove the faith of the goddess through our strengths.{nl}It is our job to protect the people from the monsters or the demons.	Kami sebagai Paladin membuktikan kepercayaan akan Goddess dengan kekuatan.{nl}Adalah tugas kami untuk menjaga orang-orang secara langsung dari Monster atau Demon.
QUEST_20151116_002913	When my uncle finishes his mission, the responsibilites will be handed down to me.{nl}However, through my ability as a Paladin, I want to protect the kingdom and serve the goddess.{nl}If my current ability is mastered, I wish to work towards the mastery of another system.	Jika paman telah menyelesaikan misinya, tanggung jawab itu akan diserahkan kepadaku.{nl}Tetapi melindungi kerajaan dengan kekuatan dari Paladin dan ingin melayangi Goddess.{nl}Aku bermaksud untuk mencapai Master dari sistem lainnya dengan kemampuanku.
QUEST_20151116_002914	Find the ferret's hideout and season the stolen food with the crimson water.{nl}The ferrets hide the stolen foods between the fruit baskets.{nl}	Sekarang cukup dengan mencari persediaan makanan yang dicuri dari markas Ferret lalu memberikan saos berwarna merah kepadanya saja.{nl}Katanya persediaan makanan yang dicuri para Ferret berada tersembunyi diantara Fruit Basket.{nl}
QUEST_20151116_002915	Ah! The ferrets have stolen beef jerky this time.{nl}The ferrets are absolutely fond of beef jerkys. {nl}Find the stolen beef jerkeys and make sure to corrupt them.	Ah! Kali ini adalah Beef Jerky yang dicuri oleh Ferret.{nl}Ferret sungguh menyukai Beef Jerky rupanya. Coba carilah Beef Jerky yang dicuri dan kotorilah itu.
QUEST_20151116_002916	Nameless Demon	Demon yang tidak diketahui namanya
QUEST_20151116_002917	Chase after the girl!{nl}She must not meet with the Revelator!	Kejar!!{nl}Jangan sampai ia bertemu dengan Savior!
QUEST_20151116_002918	Finally found you! The ferrets do have their uses.	Akhirnya ketemu!{nl}Ternyata Ferret juga berguna rupanya.
QUEST_20151116_002919	There seems to be a fly hidden among us... Find and eliminate them.	Apakah ada seekor serangga yang merayap..{nl}habisilah orang itu sesuka kalian.
QUEST_20151116_002920	Halt!{nl}You must not be an average fly to make it this far.{nl}	Berhenti! {nl}jika kamu bisa datang sampai sini, maka kau bukan serangga biasa rupanya.{nl}
QUEST_20151116_002921	Did your legs froze from fear?{nl}Or do you actually believe a human like you can handle my axe?{nl}	karena dikuasai rasa takut, kaki serasa membeku.{nl}Kalau tidak beraninya seorang manusia berpikir untuk bisa menerima kampakku.{nl}
QUEST_20151116_002922	Then, I shall send you to your beloved goddess' side!	Kalau begitu, kalian akan kukirimkan kalian kepada Goddess yang kalian kagumi!
QUEST_20151116_002923	Don't think this is the end... If you think I'll let you rescue Lada, think again!	Jangan berpikir ini akhirnya..{nl}Kalian jangan pikir dapat mengalahkanku untuk menolong Lada!
QUEST_20151116_002924	Yes...{nl}It'll be destroyed by your hands...	Oke..{nl}Itu akan kau hancurkan dengan tanganmu…{nl}
QUEST_20151116_002925	I will crush everything with Kruvina's power!!	Akan kuhabisi semuanya dengan kekuatan Kruvina!
QUEST_20151116_002926	What are you doing... Beholder...{nl}This is none of your concern!!	Apa yang kau lakukan..Beholder..{nl}ini adalah bukan sesuatu yang dapat kau atasi!!
QUEST_20151116_002927	That idiot...{nl}Did he forget about miss Giltine's mission?{nl}	Dasar bodoh..{nl}Apakah kau lupa akan tugas dari Giltine!{nl}
QUEST_20151116_002928	This power is something you cannot bear.{nl}	Ini bukan kekuatan yang dapat kau atasi.{nl}
QUEST_20151116_002929	However, that Revelator...{nl}...certainly needs to be eliminated.{nl}	Tetapi Savior itu..{nl}ternyata sungguh perlu disingkirkan rupanya.{nl}
QUEST_20151116_002930	Zaura.{nl}The sin for forgetting my mission will be repaid with that Revelator's head.{nl}	Zaura.{nl}Kesalahan akan lalai dalam bertugas akan kugantikan dengan kepala dari Savior.{nl}
QUEST_20151116_002931	Here. This is the power that miss Giltine has endowed you.{nl}This power is sufficient even without Kruvina's power.{nl}{nl}	Nah.Ini adalah kekuatan yang diturunkan oleh Giltine kepadamu.{nl} kekuatan ini cukup kuat walaupun bukan Kruvina.{nl}{nl}
QUEST_20151116_002932	Just now... A female child?{nl}Am I correct?{nl}	Barusan itu.. Anak perempuan?{nl} benar?{nl}
QUEST_20151116_002933	What is that strange light...{nl}What is happening?{nl}	Apakah cahaya yang aneh itu..{nl}Entah apa yang terjadi?{nl}
QUEST_20151116_002934	...I will first return back to town and inform that the ferrets have appeared.{nl}Thanks for rescuing me.	..Pertama kembali ke desa, dan harus memberitahu bahwa Ferret telah muncul.{nl}terima kasih telah menolongku.
QUEST_20151116_002935	I pray to the goddess hoping that my prediction is correct.{nl}Oh right, you do know that bonfire has to be burnt with firewood?{nl}	Kumohon aku harus berdoa agar perkiraanku tepat.{nl}Duh, kamu tahu Bonfire harus dinyalakan dengan kayu bakar kan?{nl}
QUEST_20151116_002936	Demon Goddess Giltine	Demon Goddess Giltine
QUEST_20151116_002937	Laima's wing..{nl}It's beautiful every time I look at it...	Laima's Wings..{nl}Dilihat kapanpun selalu indah..
QUEST_20151116_002938	However, I do not like the color.	Tetapi warna itu tidak kusuka.
QUEST_20151116_002939	Look.{nl}The side with the crimson color is much more beautiful...	Lihat.{nl}Bagian merah sudah pasti lebih cantik…
QUEST_20151116_002940	Are you regretting the decision?{nl}I can feel it. We are sisters after all...	Kau menyesal kan?{nl}aku dapat merasakannya. Karena kita saudara..
QUEST_20151116_002941	Does it hurt a lot?{nl}Are you sad?	Apakah sakit sekali?{nl} Sedih?
QUEST_20151116_002942	Do you hate... me?	Kau... benci aku?
QUEST_20151116_002943	Please wait a moment.{nl}Soon... That person will awake.	Tunggu sebentar.{nl} Segera… orang itu akan segera bangun.
QUEST_20151116_002944	The pain and sorrow... Despair...{nl}All those will subside within that person.	Rasa sakit dan sedih.. Putus asa..{nl}semua hal akan disampaikan kepadanya…
QUEST_20151116_002945	Please help me...{nl}Revelator, please... Please stop Giltine.	Tolong…{nl}Tolong penyelamat.. Halangilah Giltine..
QUEST_20151116_002946	A voice calling out for me can be heard.	Terdengar suara memanggilku entah darimana.
QUEST_20151116_002947	A method to purify the earth...{nl}I believe that the clerics might know more about this topic.	Cara untuk mempurifikasi tanah..{nl}Hal itu dibandingkan aku, sepertinya para Priest lebih mengetahuinya deh.
QUEST_20151116_002948	I know a method to purify the demons.{nl}	Aku tahu cara untuk mempurifikasikan Demon.{nl}
QUEST_20151116_002949	You need to hold your breath, so that no one will sense you.{nl}Then, quietly get closer to the lights...{nl}	Pertama kita harus menahan nafas. Bagaimanapun tidak boleh sampai mencolok.{nl}Lalu berikutnya pergi hampiri diam-diam dari belakang…{nl}
QUEST_20151116_002950	Darn. A method to purify the earth, but not the demons?{nl}You should've found Druid Master if that's the case. The order is wrong.	Ini..Cara untuk mempurifikasi tanah, bukan demon ?{nl}Kalau begitu harusnya pergi menemui druid dahulu. Nomor rumahnya salah.
QUEST_20151116_002951	You need my power?{nl}The price is bit steep. Is it a job worth that much?{nl}	Kau butuh kekuatanku?{nl} Biayanya cukup mahal loh. Apakah pekerjaan itu sungguh bernilai?{nl}
QUEST_20151116_002952	Hold on... A method to purify the earth?{nl}Hey... I'm just a mercenary. Go find the answers somewhere else.	Sebentar.. Cara untuk mempurifikasi tanah?{nl}lihat ini.. Aku adalah Merchant. Hal seperti itu cobalah cari tahu di tempat lain.
QUEST_20151116_002953	You came to the wrong place if you're looking for a method to purify the earth.{nl}No matter how you look at it, wouldn't that Druid Master have the answers?	jika kamu datang mencari cara mempurifikasi tanah, kau salah datang kesini.{nl} mau dilihat bagaimanapun, sepertinya Druid Master sudah pasti tahu lebih baik kan?
QUEST_20151116_002954	The ferret plays dead in critical situations.	Ferret berpura-pura mati pada kondisi darurat.
QUEST_20151116_002955	The ferrets are curious animals and eats whatever they have yet to seen.	Ferret memiliki rasa ingin tahu tinggi, sehingga memakan apapun yang dilihatnya pertama kali.
