ITEM_20150317_000001	Empty_helmet	없음_helmet	Empty_Helmet
ITEM_20160218_009072	Red Lepusbunny Tail	붉은 레푸스버니 꼬리	Red Lepusbunny Tail
ITEM_20160218_009073	Due to its short length, Lepusbunny fur is usually difficult to handle; the tail is an exception. {nl}Obtained from Red Lepusbunnies.	레푸스버니의 털은 짧아 가공이 어렵지만 꼬리만은 예외입니다. 붉은 레푸스버니에게서 획득합니다.	Karena pendek, bulu Lepusbunny susah ditangani; ekor nya pengecualian. {nl}Dipeoleh dari Red Lepusbunnies.
ITEM_20160218_009074	Blue Cronewt Leather	푸른 크로뉴트 가죽	Blue Cronewt Leather
ITEM_20160218_009075	This type of leather is characteristically thicker and softer than others. {nl}Obtained from Blue Cronewts.	다른 가죽들보다 두껍고 물렁한 특징이 있습니다. 푸른 크로뉴트에게서 획득합니다.	Karakteristik kulit ini tebal dan lebih lembut dari kulit lain nya. {nl}Diperoleh dari Blue Cronewts.
ITEM_20160218_009076	Blue Cronewt Stinger	푸른 크로뉴트 독침	Blue Cronewt Stinger
ITEM_20160218_009077	This poison produced by Cronewts is nearly as deadly as that of the Wugushi. {nl}Obtained from Blue Cronewt Poisoned Needlers.	크로뉴트들이 사용하는 독은 무고사에 버금갈만큼 치명적입니다. 푸른 크로뉴트 독침술사에게서 획득합니다.	Racun yang dihasilkan oleh Cronewts hampir sama mematikan nya seperti Wugushi. {nl}Dipeoleh dari Blue Cronewt Poisoned Needlers.
ITEM_20160218_009078	Blue Hohen Claw	푸른 호헨 손톱	Blue Hohen Claw
ITEM_20160218_009079	Hohens use their claws as weapons. {nl}Obtained from Blue Hohens.	이들에게 자신의 손톱은 무기와 같습니다. 푸른 호헨 바클에게서 획득합니다.	Hohen menggunakan cakarnya sebagai senjata. {nl}Dipeoleh dari Blue Hohens.
ITEM_20160218_009080	Blue Tini Horn	푸른 티니의 뿔	Blue Tiny Horn
ITEM_20160218_009081	An old record exists of a man who once pulled out a Tini's horn with his own bare hands. {nl}Obtained from Blue Tinis.	오래전 한 사내가 맨손으로  티니의 뿔을 뽑았다는 기록이 있습니다. 푸른 티니에게서 획득합니다.	Terdapat sebuah rekor lama dimana seorang pria mencabut tanduk Tiny horn dengan tangan kosong. {nl}Dipeoleh dari Blue Tinys.
ITEM_20160218_009082	White Spion Fur	하얀 스피온 털	White Spion Fur
ITEM_20160218_009083	Very rough and bristly fur. {nl}Obtained from White Spions.	매우 거칠고 뻣뻣한 털입니다. 하얀 스피온에게서 획득합니다.	Bulu yang kasar dan kusut. {nl}Diperoleh dari White Spions.
ITEM_20160218_009084	Brown Lapasape Leaves	갈색 라프세이프 잎	Brown Lapasape Leaves
ITEM_20160218_009085	Thin, pointy leaves. {nl}Obtained from Brown Lapasapes.	가늘고 뾰족한 잎입니다. 갈색 라프세이프에게서 획득합니다.	Daun tipis dan runcing. {nl}Diperoleh dari Brown Lapasapes.
ITEM_20160218_009086	Red Hohen Orben Crystal Sphere	붉은 호헨 올벤의 수정구	Red Hohen Orben Crystal Sphere
ITEM_20160218_009087	This crystal sphere is the source of Hohens' magical power. {nl}Obtained from Red Hohen Orbens.	이 수정구는 호헨들이 사용하는 마법적 힘의 원천과 같습니다. 붉은 호헨 올벤에게서 획득합니다.	Crystal sphere ini merupakan sumber kekuatan gaib dari Hohens. {nl}Diperoleh dari Red Hohen Orbens.
ITEM_20160218_009088	White Wendigo Bow	하얀 웬디고 활대	White Wendigo Bow
ITEM_20160218_009089	A rudimentary but exceptionally elastic bow. {nl}Obtained from White Wendigo Archers.	매우 조악한 활대지만 탄력은 매우 우수합니다. 하얀 웬디고 궁수에게서 획득합니다.	Bow yang belum sempurna namun sangat elastis. {nl}Diperoleh dari White Wendigo Archers.
ITEM_20160218_009090	Blue Hohen Gulak Horns	푸른 호헨 굴락의 뿔	Blue Hohen Gulak Horns
ITEM_20160218_009091	These wide-set horns are imposing enough to intimidate any adversary. {nl}Obtained from Blue Hohen Gulaks.	넓게 벌어져 있는 뿔은 상대에게 위압감을 주기 충분합니다. 푸른 호헨 굴락에게서 획득합니다.	Tanduk lebar ini cukup untuk mengintimidasi musuh. {nl}Diperoleh dari Blue Hohen Gulaks.
ITEM_20160218_009092	Black Kepari Leaves	검은 케파리 잎	Black Kepari Leaves
ITEM_20160218_009093	As leaves that grow on monters' bodies all possess different properties, they are essential to magical research. {nl}Obtained from Black Keparis.	몬스터들의 몸에 솟아난 잎은 각기 다른 성질을 가지고 있어 마법 연구에 필수적입니다. 검은 케파리에게서 획득합니다.	Sebagai daun yang tumbuh di badan monster, semua memiliki berbagai sifat yang berbeda, mereka sangat penting untuk penelitian magis. {nl}Diperoleh dari Black Keparis.
ITEM_20160218_009094	Brown Tini Bones	갈색 티니의 뼈	Brown Tiny Bones
ITEM_20160218_009095	These bones are hard enough to allow them to be used as a club. {nl}Obtained from Brown Tinis.	매우 단단하여 몽둥이로 사용할 수도 있습니다. 갈색 티니에게서 획득합니다.	Tulang ini cukup kuat untuk dijadikan tongkat pemukul. {nl}Diperoleh dari Brown Tinys.
ITEM_20160218_009096	Brown Tini Horn	갈색 티니의 뿔	Brown Tiny Horn
ITEM_20160218_009097	An old record exists of a man who once pulled out a Tini's horn with his own bare hands. {nl}Obtained from Brown Tinis.	오래전 한 사내가 맨손으로  티니의 뿔을 뽑았다는 기록이 있습니다. 갈색 티니에게서 획득합니다.	Terdapat sebuah rekor lama dimana seorang pria mencabut tanduk Tiny horn dengan tangan kosong. {nl}Diperoleh dari Brown Tinys.
ITEM_20160218_009098	Blue Harugal Mane	푸른 하루갈 갈기	Blue Harugal Mane
ITEM_20160218_009099	Harugals are the strongest of Hohens. Acquiring their mane is not an easy task. {nl}Obtained from Blue Harugals.	하루갈은 호헨 중에서도 가장 강한 존재입니다. 갈기를 얻기는 쉬운일이 아닙니다. 푸른 하루갈에게서 획득합니다.	Harugal adalah Hohen terkuat. Mendapatkan mane mereka bukan tugas yang mudah. {nl}Diperoleh dari Blue Harugal.
ITEM_20160218_009100	Blue Harugal Heart	푸른 하루갈의 심장	Blue Harugal Heart
ITEM_20160218_009101	The only way to acquire the heart of a monster is to slay it. {nl}Obtained from Blue Harugals.	몬스터의 심장을 얻는 방법은 그 몬스터를 쓰러트리는 것 뿐입니다. 푸른 하루갈에게서 획득합니다.	Satu-satunya cara untuk mendapatkan hati monster adalah membunuh nya. {nl}Diperoleh dari Blue Harugal.
ITEM_20160218_009102	Green Socket Wing	초록 소켓의 날개	Green Socket Wing
ITEM_20160218_009103	Sockets are able to fly even with no wings. The presence of wings simply signifies that they are demons. {nl}Obtained from Green Sockets.	소켓은 날개 없이도 날아다닐 수 있습니다. 날개는 그들이 마족이라는 증거일 뿐입니다. 초록 소켓에게서 획득합니다.	Socket dapat terbang meskipun tanpa sayap. Kehadiran sayap hanya untuk menandakan bahwa mereka adalah demon. {nl}Diperoleh dari Green Sockets.
ITEM_20160218_009104	Brown Stoulet Helmet Fragment	갈색 스타울리트 투구 파편	Brown Stoulet Helmet Fragment
ITEM_20160218_009105	The helmets worn by Stoulets are made of an unknown metal. {nl}Obtained from Brown Stoulets.	스타울리트들이 쓰는 투구는 성분을 알 수 없는 금속으로 되어있습니다. 갈색 스타울리트에게서 획득합니다.	Helmet yang digunakan oleh Stoulet terbuat dari metal yang tidak diketahui. {nl}Diperoleh dari Brown Stoulets.
ITEM_20160218_009106	Blue Ridimed Stems	푸른 리디메드 줄기	Blue Ridimed Stems
ITEM_20160218_009107	The hardness of these stems makes them hard to chew. {nl}Obtained from Blue Ridimeds.	씹어 먹는 것이 힘들 정도로 단단한 줄기입니다. 푸른 리디메드에게서 획득합니다.	Kerasnya batang ini membuat mereka sulit untuk dikunyah. {nl}Diperoleh dari Blue Ridimeds.
ITEM_20160218_009108	Red Straw Sheaves	붉은 짚단	Red Straw Sheaves
ITEM_20160218_009109	Useful for lighting a fire. {nl}Obtained from Red Puragis.	불을 붙일 때 사용하면 좋습니다. 붉은 푸라기에게서 획득합니다.	Berguna untuk menyalahkan api. {nl}Diperoleh dari Red Puragis.
ITEM_20160218_009110	Black Old Kepa Skin	검은 늙은케파 껍질	Black Old Kepa Skin
ITEM_20160218_009111	Will easily break apart unless handled carefully. {nl}Obtained from Black Old Kepas.	조심히 다루지 않는다면 금방 바스라져 버립니다. 검은 늙은케파에게서 획득합니다.	Akan mudah pecah kecuali ditangani dengan hati-hati. {nl}Diperoleh dari Black Old Kepas.
ITEM_20160218_009112	Yellow Griba Stems	노란 그리바 줄기	Yellow Griba Stems
ITEM_20160218_009113	These stems are soft and can be consumed. {nl}Obtained from Yellow Gribas.	말랑말랑하여 식자재로 사용되기도 합니다. 노란 그리바에게서 획득합니다.	Batang ini empuk dan bisa dikonsumsi. {nl}Diperoleh dari Yellow Gribas.
ITEM_20160218_009114	Green Meduja Tentacles	초록 미듀쟈 촉수	Green Meduja Tentacles
ITEM_20160218_009115	Meduja tentacle attacks can cause serious injuries. {nl}Obtained from Green Medujas.	미듀쟈 촉수에 공격 당하면 끔찍한 흉터가 남겨집니다. 초록 미듀쟈에게서 획득합니다.	Serangan dari Meduja tentacle bisa menyebabkan luka serius. {nl}Diperoleh dari Green Medujas.
ITEM_20160218_009116	Terranium	테라늄	Terranium
ITEM_20160218_009117	Only Terra Imps are able to create this metal. {nl}Obtained from Terra Imps.	테라임프들만이 만들어 낼 수 있는 금속입니다. 테라임프에게서 획득합니다.	Hanya Terra Imps yang bisa membuat metal ini. {nl}Diperoleh dari Terra Imps.
ITEM_20160218_009118	Dawn Crystal Fragment	황혼 결정 파편	Dawn Crystal Fragment
ITEM_20160218_009119	Nothing is known about this item. {nl}Obtained from Red Dawn Maidens.	이것에 대해서는 알려진 것이 없습니다. 붉은 황혼의 시녀에게서 획득합니다.	Tidak ada yang diketahui tentang item ini. {nl}Diperoleh dari Red Dawn Maidens.
ITEM_20160218_009120	Blue Elet Mask	푸른 엘렛의 마스크	Blue Elet Mask
ITEM_20160218_009121	The intricate writings on this mask serve to amplify the power of Elets. {nl}Obtained from Blue Elets.	마스크에 복잡하게 새겨진 문자들은 엘렛의 힘을 증폭시켜주는 효과가 있습니다. 푸른 엘렛에게서 획득합니다.	Tulisan-tulisan yang rumit di topeng ini berfungsi untuk memperkuat kekuatan Elets. {nl}Diperoleh dari Blue Elets.
ITEM_20160218_009122	Blue Nuo Horns	푸른 누오의 뿔	Blue Nuo Horns
ITEM_20160218_009123	Nuos will not attack with their horns unless it's absolutely necessary. {nl}Obtained from Blue Nuos.	정말 급한 상황이 아니라면 누오는 자신의 뿔로 상대를 공격하지 않습니다. 푸른 누오에게서 획득합니다.	Nuos tidak akan menyerang menggunakan tanduknya kecuali memang dibutuhkan. {nl}Diperoleh dari Blue Nuos.
ITEM_20160218_009124	Blue Nuo Sword Fragment	푸른 누오의 검 파편	Blue Nuo Sword Fragment
ITEM_20160218_009125	Despite small, this sword fragment emanates a sinister energy. {nl}Obtained from Blue Nuos.	작은 파편일지라도 사악한 기운이 퍼져나오고 있습니다. 푸른 누오에게서 획득합니다.	Meskipun kecil, fragment pedang ini memancarkan energi jahat. {nl}Diperoleh dari Blue Nuos.
ITEM_20160218_009126	Blue Guardian Spider Leg	푸른 수호 거미 다리	Blue Guardian Spider Leg
ITEM_20160218_009127	A leg consisting of a type of exosqueleton. {nl}Obtained from Blue Guardian Spiders.	외골격으로 이뤄진 다리입니다. 푸른 수호 거미에게서 획득합니다.	Sebuah kaki dari exosqueleton. {nl}Diperoleh dari Blue Guardian Spiders.
ITEM_20160218_009128	Red Socket Horns	붉은 소켓의 뿔	Red Socket Horns
ITEM_20160218_009129	Horns are always useful. {nl}Obtained from Red Sockets.	뿔은 언제나 쓰임새가 많습니다. 붉은 소켓에게서 획득합니다.	Horns selalu berguna. {nl}Diperoleh dari Red Sockets.
ITEM_20160218_009130	Red Socket Wings	붉은 소켓의 날개	Red Socket Wings
ITEM_20160218_009131	Sockets are able to fly even with no wings. The presence of wings simply signifies that they are demons. {nl}Obtained from Red Sockets.	소켓은 날개 없이도 날아다닐 수 있습니다. 날개는 그들이 마족이라는 증거일 뿐입니다. 붉은 소켓에게서 획득합니다.	Socket dapat terbang meskipun tanpa sayap. Kehadiran sayap hanyauntuk menandakan bahwa mereka adalah demon. {nl}Diperoleh dari Red Socket.
ITEM_20160218_009132	Darkness Crystal Fragment	어둠 결정 파편	Darkness Crystal Fragment
ITEM_20160218_009133	Nothing is known about this item. {nl}Obtained from Red Darkness Maidens.	이것에 대해서는 알려진 것이 없습니다. 붉은 어둠의 시녀에게서 획득합니다.	Tidak ada yang diketahui tentang item ini. {nl}Diperoleh dari Red Darkness Maidens.
ITEM_20160218_009134	Blue Nuka Armor Fragment	푸른 누카 갑옷 파편	Blue Nuka Armor Fragment
ITEM_20160218_009135	Acquiring equipment worn by demons is an extremely difficult task. {nl}Obtained from Blue Nukas.	마족들이 사용하던 장비를 얻는 것은 매우 어려운 일입니다. 푸른 누카에게서 획득합니다.	Mendapatkan perlengkapan yang digunakan demon merupakan tugas yang amat sangat susah. {nl}Diperoleh dari Blue Nukas.
ITEM_20160218_009136	Blue Temple Slave Hood	푸른 템플슬레이브의 두건	Blue Temple Slave Hood
ITEM_20160218_009137	Stealthy Temple Slaves used their hoods to conceal themselves. {nl}Obtained from Blue Temple Slaves.	교활한 템플슬레이브들은 은신을 위해 두건을 사용합니다. 푸른 템플슬레이브에게서 획득합니다.	Stealthy Temple Slaves menggunakan hood untuk menyembunyikan diri. {nl}Diperoleh dari Blue Temple Slaves.
ITEM_20160218_009138	Green Tini Tail	초록 티니 꼬리	Green Tiny Tail
ITEM_20160218_009139	Rumor has it that a few eccentric individuals collect this item. {nl}Obtained from Green Tinis.	몇몇 괴상한 수집가들이 이것을 수집한다는 소문이 있습니다. 초록 티니에게서 획득합니다.	Rumor mengatakan beberapa individu eksentrik mengumpulkan item ini. {nl}Diperoleh dari Green Tinys.
ITEM_20160218_009140	Red Spion Fur	붉은 스피온 털	Red Spion Fur
ITEM_20160218_009141	Very rough and bristly fur. {nl}Obtained from Red Spions.	매우 거칠고 뻣뻣한 털입니다. 붉은 스피온에게서 획득합니다.	Sangat kasar dan berbulu. {nl}Diperoleh dari Red Spions.
ITEM_20160218_009142	Green Tini Magician Bones	초록 티니 마법사의 뼈	Green Tiny Magician Bones
ITEM_20160218_009143	These bones are hard enough to allow them to be used as a club. {nl}Obtained from Green Tini Magicians.	매우 단단하여 몽둥이로 사용할 수도 있습니다. 초록 티니 마법사에게서 획득합니다.	Tulang ini cukup kuat untuk dijadikan tongkat pemukul. {nl}Diperoleh dari Green Tiny Magicians.
ITEM_20160218_009144	Blue Dumaro Claw	푸른 듀마로의 발톱	Blue Dumaro Claw
ITEM_20160218_009145	Hunters often display these claws on a necklace in order to prove their prowess. {nl}Obtained from Blue Dumaros.	사냥꾼들은 자신의 실력을 입증하기 위해 목걸이에 발톱을 꿰고 다니기도 합니다. 푸른 듀마로에게서 획득합니다.	Pemburu biasanya menggunakan cakar ini sebagai kalung untuk menunjukan kebranian mereka. {nl}Diperoleh dari Blue Dumaros.
ITEM_20160218_009146	Blue Lepusbunny Bones	푸른 레푸스버니의 뼈	Blue Lepusbunny Bones
ITEM_20160218_009147	Lepusbunny bones are characteristically light in comparison to their size. {nl}Obtained from Blue Lepusbunnies.	레푸스버니의 뼈는 크기에 비해 가벼운 것이 특징입니다. 푸른 레푸스버니에게서 획득합니다.	Tulang Lepusbunny ringan dibandingkan dengan ukurannya. {nl}Diperoleh dari Blue Lepusbunnies.
ITEM_20160218_009148	Blue Beard	푸른 수염	Blue Beard
ITEM_20160218_009149	A beard as long as a Fisherman's height. {nl}Obtained from Blue Fishermen.	키만큼 긴 수염입니다. 푸른 피셔맨에게서 획득합니다.	Janggut dari Fishermen. {nl}Diperoleh dari Blue Fishermen.
ITEM_20160218_009150	Red Elma Broken Staff	붉은 엘마의 부러진 스태프	Red Elma Broken Staff
ITEM_20160218_009151	Used to create strong equipment but exists in very short supply. {nl}Obtained from Red Elmas.	강력한 장비를 만드는데 사용되지만 공급이 매우 부족한 상황입니다. 붉은 엘마에게서 획득합니다.	Digunakan untuk membuat equipment yang kuat namun jumlah nya tidak banyak. {nl}Diperoleh dari Red Elmas.
ITEM_20160218_009152	Red Ticen Horns	붉은 티켄의 뿔	Red Ticen Horns
ITEM_20160218_009153	Ticen horns grow separately from their skull.{nl}Obtained from Red Ticens.	티켄의 뿔은 두개골과 분리되어 있는 구조를 가지고 있습니다. 붉은 티켄에게서 획득합니다.	Ticen horns tumbuh terpisah dari tengkoraknya. {nl}Diperoleh dari Red Ticens.
ITEM_20160218_009154	Red Nuo Horns	붉은 누오의 뿔	Red Nuo Horns
ITEM_20160218_009155	Nuos will not attack with their horns unless it's absolutely necessary.{nl}Obtained from Red Nuos.	정말 급한 상황이 아니라면 누오는 자신의 뿔로 상대를 공격하지 않습니다. 붉은 누오에게서 획득합니다.	Nuos tidak akan menyerang menggunakan tanduknya kecuali memang dibutuhkan. {nl}Diperoleh dari Red Nuos.
ITEM_20160218_009156	Red Cockat Feather	붉은 코카트 깃털	Red Cockat Feather
ITEM_20160218_009157	This material's beautiful red color creates a high demand for it.{nl}Obtained from Red Cockats.	아름다운 색을 가지고 있어 수요가 많은 재료입니다. 붉은 코카트에게서 획득합니다.	Material indah dengan warna merah menciptakan permintaan yang tinggi. {nl}Diperoleh dari Red Cockats.
ITEM_20160218_009158	Red Cockat Crest	붉은 코카트 벼슬	Red Cockat Crest
ITEM_20160218_009159	Once damaged, this crest cannot be recovered. This makes intact crests a very valuable item.{nl}Obtained from Red Cockats.	벼슬은 한번 훼손되면 다시 회복되지 않기때문에 온전한 벼슬은 매우 가치가 높습니다. 붉은 코카트에게서 획득합니다.	Sekali rusak, crest tidak bisa dipulihkan. Ini membuat crest yang utuh jadi item yang sangat berharga. {nl}Diperoleh dari Red Cockats.
ITEM_20160218_009160	Big Red Griba Bamboo Hat	붉은 빅 그리바 갓	Big Red Griba Bamboo Hat
ITEM_20160218_009161	A hat contaminated with unknown toxins and mildew.{nl}Obtained from Big Red Gribas.	알수없는 독소들과 곰팡이들로 오염되어 있습니다. 붉은 빅 그리바에게서 획득합니다.	Topi yang terkontaminasi dengan jamur dan racun yang tidak diketahui. {nl}Diperoleh dari Big Red Gribas.
ITEM_20160218_009162	Gray Winged Frog Bones	회색 날개 개구리의 뼈	Gray Winged Frog Bones
ITEM_20160218_009163	Winged Frog bones are hollow in order to allow for flight.{nl}Obtained from Gray Winged Frogs.	비행을 위해 날개 개구리의 뼈는 속이 텅 비어있습니다. 회색 날개 개구리에게서 획득합니다.	Winged Frog bones berlubang agar bisa terbang. {nl}Diperoleh dari Gray Winged Frogs.
ITEM_20160218_009164	Red Guardian Spider Eyes	붉은 수호 거미의 눈	Red Guardian Spider Eyes
ITEM_20160218_009165	As Guardian Spider eyes crystalize after they die, they are often used as gems.{nl}Obtained from Red Guardian Spiders.	수호 거미의 눈은 생명을 잃으면 결정화 되어 굳어지기 때문에 보석으로 많이 사용됩니다. 붉은 수호 거미에게서 획득합니다.	Guardian Spider eyes mengkristal setelah mereka mati sering digunakan sebagai gems. {nl}Diperoleh dari Red Guardian Spiders.
ITEM_20160218_009166	Green Rafflesia Stamen	초록 라플레시아 수술	Green Rafflesia Stamen
ITEM_20160218_009167	These stamen exude a foul smell and must never be touched with bare hands.{nl}Obtained from Green Rafflesias.	악취를 뿜어내는 이 기분나쁜 수술은 절대 맨손으로 만지면 안됩니다. 초록 라플레시아에게서 획득합니다.	Stamen ini memancarkan bau busuk dan tidak boleh disentuh dengan tangan kosong. {nl}Diperoleh dari Green Rafflesias.
ITEM_20160218_009168	Green Rafflesia Branch	초록 라플레시아 암술	Green Rafflesia Branch
ITEM_20160218_009169	Unlike their stamen, Rafflesias' branches immediately dry out and wither after they die, which makes them very difficult to acquire.{nl}Obtained from Green Rafflesias.	수술과 달리 암술은 라플레시아가 죽는 즉시 말라비틀어져서 획득하기가 매우 어렵습니다. 초록 라플레시아에게서 획득합니다.	Tidak seperti Stamen, dahan Rafflesias akan cepat kering setelah mati, ini menjadi sulit untuk didapatkan. {nl}Diperoleh dari Green Rafflesias.
ITEM_20160218_009170	Jukotail Tail	유코테일 꼬리	Jukotail Tail
ITEM_20160218_009171	A durable item useful for tieing around other objects.{nl}Obtained from Jukotails.	질기기 때문에 무언가를 묶을 때 도움이 됩니다. 유코테일에게서 획득합니다.	karena tahan lama berguna untuk mengikat objek lain. {nl}Diperoleh dari Jukotails.
ITEM_20160218_009172	Jukotail Ore	유코테일 광석	Jukotail Ore
ITEM_20160218_009173	Ore created from the petrifaction of the fruit that hangs from the tip of Jukotails' tails.{nl}Obtained from Jukotails.	꼬리 끝에 달려있는 붉은 열매가 석화되어 생긴 광석입니다. 유코테일에게서 획득합니다.	Ore yang terbentuk dari buah yang membatu terdapat di ujung ekor Jukotail. {nl}Diperoleh dari Jukotails.
ITEM_20160218_009174	Blue Hohen Mane	푸른 호헨 갈기	Blue Hohen Mane
ITEM_20160218_009175	To acquire this you must face a furious beast.{nl}Obtained from Blue Hohens.	이것을 얻기 위해서는 성난 야수와 대면할 수 밖에 없습니다. 푸른 호헨에게서 획득합니다.	Untuk mendapatkan ini kamu harus menghadapi binatang buas. {nl}Diperoleh dari Blue Hohens.
ITEM_20160218_009176	Green Minos Fur	초록 미노스의 털	Green Minos Fur
ITEM_20160218_009177	This type of fur is characteristically thin and long like human hair.{nl}Obtained from Green Minos.	사람의 머리카락처럼 매우 얆고 긴 것이 특징입니다. 초록 미노스에게서 획득합니다.	Bulu seperti ini memiliki karakteristik tipis dan panjang seperti rambut manusia. {nl}Diperoleh dari Green Minos.
ITEM_20160218_009178	Green Minos Jaw Bones	초록 미노스의 턱뼈	Green Minos Jaw Bones
ITEM_20160218_009179	The jaw of a Minos is strong enough to bend steel.{nl}Obtained from Green Minos.	미노스의 턱 힘은 강철도 찌그러트릴 수 있습니다. 초록 미노스에게서 획득합니다.	Rahang dari Minos cukup kuat untuk membengkokkan besi. {nl}Diperoleh dari Green Minos.
ITEM_20160218_009180	Brown Nuka Armor Fragment	갈색 누카 갑옷 파편	Brown Nuka Armor Fragment
ITEM_20160218_009181	Acquiring equipment worn by demons is an extremely difficult task.{nl}Obtained from Brown Nukas.	마족들이 사용하던 장비를 얻는 것은 매우 어려운 일입니다. 갈색 누카에게서 획득합니다.	Mendapatkan perlengkapan yang digunakan demon merupakan tugas yang amat sangat susah. {nl}Diperoleh dari Brown Nukas.
ITEM_20160218_009182	Corrupt Brown Lapasape Mushroom	오염된 갈색 라프세이프 버섯	Corrupt Brown Lapasape Mushroom
ITEM_20160218_009183	For reasons unknown, Corrupted Lapasape Mushrooms possess properties entirely different from those of regular ones.{nl}Obtained from Brown Lapasapes.	알 수 없는 원인으로 오염된 라프세이프 버섯은 이전과는 완전히 다른 성질을 가지게 된다고 합니다. 갈색 라프세이프에게서 획득합니다.	Untuk alasan yang tidak diketahui, Corrupted Lapasape Mushrooms memiliki sesuatu yang berbeda dari yang biasa. {nl}Diperoleh dari Brown Lapasapes.
ITEM_20160218_009184	Red Ticen Spearhead	붉은 티켄의 창날	Red Ticen Spearhead
ITEM_20160218_009185	A spearhead with a simple shape.{nl}Obtained from Red Ticens.	단순한 모양의 창날입니다. 붉은 티켄에게서 획득합니다.	Tombak dengan bentuk sederhana. {nl}Diperoleh dari Red Ticens.
ITEM_20160218_009186	Tough Shell	단단한 껍질	Tough Shell
ITEM_20160218_009187	Its shape may seem odd depending on who looks at it.{nl}Obtained from Greentoshells.	보는 사람에 따라 모양이 이상하게 느껴질 수도 있습니다. 틈게에게서 획득합니다.	Bentuk nya mungkin tampak aneh tergantung yang melihat hal itu. {nl}Diperoleh dari Greentoshells.
ITEM_20160218_009188	Pincers	집게발	Pincers
ITEM_20160218_009189	A pair of pincers strong enough to pierce through a steel plate.{nl}Obtained from Greentoshells.	철판을 절단할 만큼 단단한 집게발입니다. 틈게에게서 획득합니다.	Sepasang pincers cukup kuat untuk menembus pelat baja. {nl}Diperoleh dari Greentoshells.
ITEM_20160218_009190	Yellow Dumaro Claw	노란 듀마로의 발톱	Yellow Dumaro Claw
ITEM_20160218_009191	Hunters often display these claws on a necklace in order to prove their prowess.{nl}Obtained from Yellow Dumaros.	사냥꾼들은 자신의 실력을 입증하기 위해 목걸이에 발톱을 꿰고 다니기도 합니다. 노란 듀마로에게서 획득합니다.	Pemburu biasanya menggunakan cakar ini sebagai kalung untuk menunjukan kebranian mereka. {nl}Diperoleh dari Yellow Dumaros.
ITEM_20160218_009192	Awakening Stone	각성석	Awakening Stone
ITEM_20160218_009193	Helps in item awakening without reducing the Potential of an equipment.	장비의 포텐셜을 감소시키지 않고 아이템 어웨이크닝을 할 수 있게 도와줍니다.	Membantu awakening item tanpa mengurangi potential nya.
ITEM_20160218_009194	Beeteroxia Leaves	비테록시아 잎	Beeteroxia Leaves
ITEM_20160218_009195	It is said that the leaves that grow on the face of a Beeteroxia allow them to sense the environment around them.{nl}Obtained from Beeteroxias.	비테록시아는 얼굴에 솟아난 잎으로 주변 환경을 감지할 수 있다고 합니다. 비테록시아에게서 획득합니다.	Dikatakan bahwa daun yang tumbuh di wajah Beeteroxia menjadikan mereka untuk merasakan lingkungan sekitar. {nl}Diperoleh dari Beeteroxias.
ITEM_20160218_009196	Ferret Marauder Shell	페릿머로더의 껍질	Ferret Marauder Shell
ITEM_20160218_009197	Ferret Marauder shells are used to make various luxury items.{nl}Obtained from Ferret Marauders.	페릿머로더의 껍질은 다양한 사치품의 재료로 사용됩니다. 페릿머로더에게서 획득합니다.	Ferret Marauder shells digunakan untuk membuat berbagai barang mewah. {nl}Diperoleh dari Ferret Marauders.
ITEM_20160218_009198	Ferret Marauder Horns	페릿머로더의 뿔	Ferret Marauder Horn
ITEM_20160218_009199	Horns with less cracks and scratches are the most valuable.{nl}Obtained from Ferret Marauders.	이 거대한 뿔은 흠집이 적을수록 가치가 올라갑니다. 페릿머로더에게서 획득합니다.	Tandunk dengan retakan dan goresan yang sedikit akan semakin bernilai. {nl}Diperoleh dari Ferret Marauders.
ITEM_20160218_009200	Parrot Stems	페롯 줄기	Parrot Stems
ITEM_20160218_009201	Stems that hang on top of Parrots' heads.{nl}Obtained from Parrots.	페롯 머리에 달린 줄기입니다. 페롯에게서 획득합니다.	Batang yang tergantung di atas Parrots' heads. {nl}Diperoleh dari Parrots.
ITEM_20160218_009202	Polibu Leaves	폴리부 잎	Polibu Leaves
ITEM_20160218_009203	Leaves that grow on Polibus' heads.{nl}Obtained from Polibus.	폴리부의 머리에 돋아난 잎입니다. 폴리부에게서 획득합니다.	Daun yang tumbuh di Polibus' heads. {nl}Diperoleh dari Polibus.
ITEM_20160218_009204	Leafnut Horn	리프넛의 뿔	Leafnut Horn
ITEM_20160218_009205	A small and tough horn. {nl}Obtained from Leafnuts.	작고 단단한 뿔입니다. 리프넛에게서 획득합니다.	Tanduk kecil dan kuat. {nl}Diperoleh dari Leafnuts.
ITEM_20160218_009206	Loktanun Feather	록타눈 깃털	Loktanun Feather
ITEM_20160218_009207	A feather with excellent thermal insulation properties.{nl}Obtained from Loktanuns.	보온성이 뛰어난 깃털입니다. 록타눈에게서 획득합니다.	Sebuah bulu dengan sifat isolasi termal yang bagus. {nl}Diperoleh dari Loktanuns.
ITEM_20160218_009208	Ponpon Branch	폰폰 가지	Ponpon Branch
ITEM_20160218_009209	A branch that grows only on the heads of Ponpons.{nl}Obtained from Ponpons.	폰폰의 머리에서만 자라나는 가지입니다. 폰폰에게서 획득합니다.	Cabang yang tumbuh hanya  di kepala Ponpons. {nl}Diperoleh dari Ponpons.
